Id;ID_Articulo;ID_Usuario;ID_Establecimiento;FechaPesaje;HoraPesaje;Lote;NrodePieza;NrodeCaja;NrodePallet;FechaElaboracion;FechaVencimiento;Peso;Peso_Real;CodBarraArt_Int;CodBarraCaja_Int;CodBarraPallet_Int;upsize_ts
88;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:51:37.000;BARR777;246;61;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220246BARR77713,70;20211112206126;202111122026;0x00000000000036FF
89;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:51:41.000;BARR777;247;61;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220247BARR77713,70;20211112206126;202111122026;0x0000000000003701
90;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:52:22.000;BARR777;248;62;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220248BARR77713,70;20211112206226;202111122026;0x0000000000003702
91;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:52:32.000;BARR777;249;62;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,68;2021111220249BARR77713,68;20211112206226;202111122026;0x0000000000003703
92;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:52:36.000;BARR777;250;62;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220250BARR77713,70;20211112206226;202111122026;0x0000000000003704
93;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:52:41.000;BARR777;251;62;26;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,68;2021111220251BARR77713,68;20211112206226;202111122026;0x0000000000003705
94;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:53:25.000;BARR777;252;63;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220252BARR77713,70;20211112206327;202111122027;0x0000000000003706
95;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:53:30.000;BARR777;253;63;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220253BARR77713,70;20211112206327;202111122027;0x0000000000003707
96;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:53:35.000;BARR777;254;63;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220254BARR77713,70;20211112206327;202111122027;0x0000000000003708
97;1;1;1;2021-12-11 00:00:00.000;1900-01-01 10:53:40.000;BARR777;255;63;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;13,7;2021111220255BARR77713,70;20211112206327;202111122027;0x0000000000003709
98;1;1;1;2021-12-11 00:00:00.000;1900-01-01 11:59:41.000;PRUEBA;256;63;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4,3;2021111220256PRUEBA4,30;20211112206327;202111122027;0x000000000000370A
99;1;1;1;2021-12-11 00:00:00.000;1900-01-01 11:59:50.000;PRUEBA;257;63;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4,28;2021111220257PRUEBA4,28;20211112206327;202111122027;0x000000000000370B
100;1;1;1;2021-12-11 00:00:00.000;1900-01-01 11:59:57.000;PRUEBA;258;63;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4,38;2021111220258PRUEBA4,38;20211112206327;202111122027;0x000000000000370C
101;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:00:00.000;PRUEBA;259;63;27;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4,19;2021111220259PRUEBA4,19;20211112206327;202111122027;0x000000000000370D
102;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:00:04.000;PRUEBA;260;64;28;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4,09;2021111220260PRUEBA4,09;20211112206428;202111122028;0x000000000000370E
103;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:00:28.000;PRUEBA;261;64;28;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4,18;2021111220261PRUEBA4,18;20211112206428;202111122028;0x000000000000370F
104;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:00:31.000;PRUEBA;262;64;28;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;3,94;2021111220262PRUEBA3,94;20211112206428;202111122028;0x0000000000003710
105;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:00:35.000;PRUEBA;263;64;28;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;3,52;2021111220263PRUEBA3,52;20211112206428;202111122028;0x0000000000003711
106;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:00:38.000;PRUEBA;264;65;28;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;3,8;2021111220264PRUEBA3,80;20211112206528;202111122028;0x0000000000003712
107;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:00:42.000;PRUEBA;265;65;28;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4,16;2021111220265PRUEBA4,16;20211112206528;202111122028;0x0000000000003713
108;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:00:45.000;PRUEBA;266;65;28;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;3,68;2021111220266PRUEBA3,68;20211112206528;202111122028;0x0000000000003714
109;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:00:48.000;PRUEBA;267;65;28;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;3,77;2021111220267PRUEBA3,77;20211112206528;202111122028;0x0000000000003715
110;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:00:51.000;PRUEBA;268;66;29;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4,27;2021111220268PRUEBA4,27;20211112206629;202111122029;0x0000000000003716
111;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:00:55.000;PRUEBA;269;66;29;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;3,66;2021111220269PRUEBA3,66;20211112206629;202111122029;0x0000000000003717
112;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:05:38.000;PRUEBA1;270;67;30;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;3,88;2021111220270PRUEBA13,88;20211112206730;202111122030;0x0000000000003718
113;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:05:46.000;PRUEBA1;271;67;30;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4,34;2021111220271PRUEBA14,34;20211112206730;202111122030;0x0000000000003719
114;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:05:50.000;PRUEBA1;272;67;30;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4,16;2021111220272PRUEBA14,16;20211112206730;202111122030;0x000000000000371A
115;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:05:53.000;PRUEBA1;273;67;30;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;3,78;2021111220273PRUEBA13,78;20211112206730;202111122030;0x000000000000371B
116;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:05:55.000;PRUEBA1;274;68;30;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;3,67;2021111220274PRUEBA13,67;20211112206830;202111122030;0x000000000000371C
117;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:05:58.000;PRUEBA1;275;68;30;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;3,95;2021111220275PRUEBA13,95;20211112206830;202111122030;0x000000000000371D
118;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:06:00.000;PRUEBA1;276;68;30;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;3,88;2021111220276PRUEBA13,88;20211112206830;202111122030;0x000000000000371E
119;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:06:04.000;PRUEBA1;277;68;30;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;3,51;2021111220277PRUEBA13,51;20211112206830;202111122030;0x000000000000371F
120;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:06:06.000;PRUEBA1;278;69;31;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4,41;2021111220278PRUEBA14,41;20211112206931;202111122031;0x0000000000003720
121;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:06:09.000;PRUEBA1;279;69;31;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4;2021111220279PRUEBA14,00;20211112206931;202111122031;0x0000000000003721
122;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:06:12.000;PRUEBA1;280;69;31;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4,28;2021111220280PRUEBA14,28;20211112206931;202111122031;0x0000000000003722
123;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:06:15.000;PRUEBA1;281;69;31;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4,18;2021111220281PRUEBA14,18;20211112206931;202111122031;0x0000000000003723
124;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:06:19.000;PRUEBA1;282;70;31;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4,21;2021111220282PRUEBA14,21;20211112207031;202111122031;0x0000000000003724
125;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:06:22.000;PRUEBA1;283;70;31;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4,15;2021111220283PRUEBA14,15;20211112207031;202111122031;0x0000000000003725
126;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:06:25.000;PRUEBA1;284;70;31;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;3,66;2021111220284PRUEBA13,66;20211112207031;202111122031;0x0000000000003726
127;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:06:28.000;PRUEBA1;285;70;31;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4,08;2021111220285PRUEBA14,08;20211112207031;202111122031;0x0000000000003727
128;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:06:30.000;PRUEBA1;286;71;32;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;4,1;2021111220286PRUEBA14,10;20211112207132;202111122032;0x0000000000003728
129;1;1;1;2021-12-11 00:00:00.000;1900-01-01 12:06:34.000;PRUEBA1;287;71;32;2021-12-11 00:00:00.000;2022-10-02 00:00:00.000;0;3,98;2021111220287PRUEBA13,98;20211112207132;202111122032;0x0000000000003729
